order_date,daily_revenue,daily_orders,aov
2018-03-19,44645.19,302,147.83175496688742
2018-03-20,35749.47,297,120.36858585858586
2018-03-21,39714.43,285,139.34887719298246
2018-03-22,31119.41,254,122.5173622047244
2018-03-23,29621.239999999998,219,135.25680365296802
2018-03-24,23787.77,165,144.16830303030304
2018-03-25,25557.29,190,134.51205263157894
2018-03-26,35779.01,271,132.0258671586716
2018-03-27,34732.56,245,141.76555102040817
2018-03-28,29713.34,219,135.67735159817352
2018-03-29,28926.73,194,149.1068556701031
2018-03-30,22088.14,165,133.86751515151514
2018-03-31,25203.73,167,150.92053892215569
2018-04-01,29396.66,207,142.0128502415459
2018-04-02,40279.1,281,143.34199288256227
2018-04-03,36246.51,246,147.34353658536585
2018-04-04,37982.73,257,147.79272373540857
2018-04-05,36058.79,266,135.55936090225563
2018-04-06,27784.74,189,147.00920634920635
2018-04-07,25517.38,164,155.59378048780488
2018-04-08,23463.85,185,126.83162162162161
2018-04-09,49308.73,253,194.89616600790515
2018-04-10,27870.56,201,138.6595024875622
2018-04-11,40782.96,274,148.8429197080292
2018-04-12,34117.58,255,133.794431372549
2018-04-13,31150.36,202,154.20970297029703
2018-04-14,18845.7,146,129.08013698630137
2018-04-15,30524.04,223,136.87910313901347
2018-04-16,40412.26,280,144.3295
2018-04-17,36682.97,265,138.42630188679246
2018-04-18,39472.71,280,140.9739642857143
2018-04-19,43287.21,292,148.24386986301369
2018-04-20,28353.84,196,144.66244897959183
2018-04-21,18966.34,156,121.57910256410257
2018-04-22,27350.9,200,136.7545
2018-04-23,37674.27,285,132.19042105263156
2018-04-24,43083.77,271,158.98070110701107
2018-04-25,40995.02,284,144.34866197183098
2018-04-26,31631.36,254,124.53291338582677
2018-04-27,40752.54,242,168.39892561983473
2018-04-28,23560.56,169,139.4115976331361
2018-04-29,19411.7,171,113.5187134502924
2018-04-30,35682.61,240,148.67754166666666
2018-05-01,33163.8,255,130.05411764705883
2018-05-02,38557.72,295,130.70413559322034
2018-05-03,42497.77,304,139.79529605263156
2018-05-04,39730.93,265,149.92803773584905
2018-05-05,28306.45,197,143.68756345177664
2018-05-06,28565.97,210,136.02842857142858
2018-05-07,54167.48,371,146.00398921832885
2018-05-08,47800.69,327,146.17948012232418
2018-05-09,43589.12,342,127.45356725146199
2018-05-10,51458.67,279,184.43967741935484
2018-05-11,37859.19,246,153.89914634146342
2018-05-12,29604.14,204,145.11833333333334
2018-05-13,31313.52,206,152.0073786407767
2018-05-14,53842.38,364,147.91862637362635
2018-05-15,41119.85,352,116.81775568181818
2018-05-16,56283.73,357,157.65750700280114
2018-05-17,31488.47,227,138.7157268722467
2018-05-18,31621.52,236,133.98949152542374
2018-05-19,25201.29,139,181.30424460431655
2018-05-20,19586.54,161,121.65552795031057
2018-05-21,25404.06,204,124.52970588235294
2018-05-22,27793.91,199,139.66788944723618
2018-05-23,17501.05,132,132.5837121212121
2018-05-24,20073.26,114,176.08122807017543
2018-05-25,15888.92,103,154.26135922330099
2018-05-26,14799.17,99,149.48656565656566
2018-05-27,12523.25,100,125.2325
2018-05-28,26877.47,143,187.95433566433567
2018-05-29,25572.08,149,171.6246979865772
2018-05-30,19214.0,140,137.24285714285713
2018-05-31,25111.28,133,188.80661654135338
2018-06-01,32298.92,184,175.53760869565215
2018-06-02,25266.62,142,177.93394366197182
2018-06-03,28461.66,191,149.01392670157068
2018-06-04,28622.4,225,127.21066666666667
2018-06-05,30709.36,197,155.885076142132
2018-06-06,26134.4,227,115.12951541850221
2018-06-07,37020.4,223,166.01076233183858
2018-06-08,26870.41,198,135.7091414141414
2018-06-09,29325.079999999998,172,170.4946511627907
2018-06-10,25501.97,193,132.13455958549224
2018-06-11,49669.7,294,168.94455782312923
2018-06-12,40369.0,246,164.10162601626016
2018-06-13,34616.96,259,133.65621621621622
2018-06-14,27504.6,212,129.738679245283
2018-06-15,26617.56,186,143.1051612903226
2018-06-16,24616.05,165,149.18818181818182
2018-06-17,17316.33,152,113.92322368421054
2018-06-18,34718.3,246,141.13130081300815
2018-06-19,34630.33,231,149.9148484848485
2018-06-20,28793.99,217,132.69119815668205
2018-06-21,27703.58,234,118.39136752136753
2018-06-22,24807.27,179,138.58810055865922
2018-06-23,17501.92,151,115.9067549668874
2018-06-24,24432.6,199,122.77688442211054
2018-06-25,36135.52,240,150.56466666666665
2018-06-26,30957.57,242,127.92384297520661
2018-06-27,26496.48,214,123.81532710280374
2018-06-28,32171.97,243,132.39493827160496
2018-06-29,20473.48,174,117.66367816091953
2018-06-30,15379.880000000001,124,124.03129032258066
2018-07-01,24369.47,161,151.36316770186338
2018-07-02,23158.62,195,118.76215384615384
2018-07-03,26307.31,216,121.79310185185186
